Token,Chapter_Category,Word_Count,Token_Type,Has_Handshape_Analysis,Handshapes,Sign_Description
A,Grammar and Parts of Speech,1,Single letter,No,,
ABOAKYERE,Festivals and Holidays,1,Single word,Yes,"""W"" hand","Place the ""W"" hand against your temple and move upward in an arc."
ABORTION,Health,1,Single word,Yes,AND hand (flat O); Open hand,"Place both open hands together with palms upward and pull the right hand down into the ""AND"" hand."
ABOUT,Travel and Directions,1,Single word,Yes,"""A"" hand","With both ""A"" hands pointing in opposite directions, circle the right hand around the left."
ABOVE,Travel and Directions,1,Single word,Yes,Flat hand,"With both flat hands pointing downward, slide the right hand over the left."
ABRAHAM,Religion,1,Single word,Yes,"""A"" hand","Place the ""A"" hand flat against your left elbow."
ABSENT,Education and Communication,1,Single word,Yes,Index finger (1); Pinch (thumb + index),"With palm facing you, point the index finger up then pull back and thouch the thumb and index finger."
ABSTINENCE,Health,1,Single word,Yes,Flat hand,Hold both flat hands at your shoulders and press forward slightly.
ACCEPT,Activities,1,Single word,Yes,AND hand (flat O); Open hand,"Hold both open hands to the font of the body and move them to the chest with ""AND"" hands."
ACCIDENT,Travel and Directions,1,Single word,Yes,"""A"" hand","Crash the knuckles of both ""A"" hands together."
ACCOUNT,Money,1,Single word,Yes,"""A"" hand; Flat hand","Slide the right ""A"" hand against the palm of the left flat hand."
ACCOUNTANT,Work,1,Single word,Yes,"""A"" hand; Flat hand","Slide the ""A"" hand across the left palm then slide your flat hands down the body."
ACCRA,Travel and Directions,1,Single word,Yes,"""R"" hand","Wave the ""R"" hand up and down at your shoulder."
ACROSS,Travel and Directions,1,Single word,Yes,Open hand,Slide the right open hand over the left wrist.
ACTIVITY,Activities,1,Single word,Yes,"""C"" hand","Place both ""C"" hands with palms down in front of the body and swing both hands back and forth."
ACTOR,Work,1,Single word,Yes,"""A"" hand; Flat hand","Circle both ""A"" hands at your chest with thumbs back then slide your flat hands down the body."
ADAM,Religion,1,Single word,Yes,"""A"" hand","Place the ""A"" hand at your right temple."
ADD,Money,1,Single word,Yes,AND hand (flat O),"Bing the right ""AND"" hand down on top of the left ""AND"" hand so the fingertips touch."
ADDO AUFO,Politics,2,Multi-word phrase,Yes,"""G"" hand","Tap the ""G"" hand to the chin twice."
ADDRESS,Technology,1,Single word,Yes,"""A"" hand","With both ""A"" hands, start at the chest and then move down to the abdomen."
ADEAKESE,Festivals and Holidays,1,Single word,Yes,"""A"" hand","Place both ""A"" hands in front of your body and switch positions."
ADJECTIVE,Grammar and Parts of Speech,1,Single word,Yes,"""A"" hand; ""D"" hand","Place the ""A"" hand at the left side of the mouth then place the ""D"" hand at the right side of the mouth."
ADULT,"Family, People, and Pronouns",1,Single word,Yes,"""A"" hand","Place the ""A"" hand thumb first at the side of the chin, then at the temple."
ADVISE,Education and Communication,1,Single word,Yes,"""S"" hand; Clawed hand","Starting with the ""S"" hand, open to the clawed hand and tap your wrists together."
AEROPLANE,Travel and Directions,1,Single word,Yes,ILY hand,"Glide your right ""ILY"" hand over the left hand."
AFRICA,Travel and Directions,1,Single word,Yes,"""A"" hand","Circle the face with the ""A"" hand, while keeping the thumb pointed upward."
AFTERNOON,Time,1,Single word,Yes,Flat hand,"With your left arm in front of your body, place the right arm and flat hand pointed upward"
AGAIN,Time,1,Single word,Yes,Flat hand,Place the fingertips of the right flat hand into the left palm.
AGITATE,Idiomatic Expressions,1,Single word,Yes,Flat hand,Tap the fingertips of the flat right hand into the flat left hand a few times.
AGREE,Ideas and Mental Action,1,Single word,Yes,Index finger (1),Touch your temple with your index finger then place both index fingers together in front of your body.
AHEAD,Travel and Directions,1,Single word,Yes,"""A"" hand","Place both ""A"" hands together with thumbs pointing up then curve the right hand forward."
AIDS,Health,1,Single word,Yes,"""S"" hand","Place both ""S"" hands together then pull the right hand upward."
AKPETESHI,Food,1,Single word,Yes,Curved hand,Slide the right curved hand under the left arm.
ALL,Money,1,Single word,Yes,Flat hand,"Swing the right flat hand around the left flat hand, ending with both hands together in front of your body."
ALLOW,Activities,1,Single word,Yes,Flat hand,Hold both flat hands forward then swing them upward simultaneously so that the fingertips point upward.
ALMOST,Money,1,Single word,Yes,Curved hand,Brush the fingertips of the right curved hand against the left fingertips as you swing upward.
ALWAYS,Opposites and Questions,1,Single word,Yes,Index finger (1),Point the index finger upward then move it in a large circle.
AM,Grammar and Parts of Speech,1,Single word,Yes,"""A"" hand","Place the ""A"" hand at the lips and move it forward."
AMEN,Religion,1,Single word,Yes,"""A"" hand","Stamp your left palm with the right ""A"" hand."
AMERICA,Travel and Directions,1,Single word,No,,Interlock your fingers and circle both arms in front of your body.
AMOUNG,Travel and Directions,1,Single word,Yes,Index finger (1),Wave the right index finger through the fingers of the open left hand.
AMPE,Sports and Games,1,Single word,No,,Clap your hands in front of your body and kick out one of your legs.
