id,english_sentence,category,sentence_type,word_count,length_band,gsl_gloss_1,gsl_gloss_2,gsl_gloss_3,consensus_gloss,annotator_notes,flag_missing_sign
GH0001,Take the road behind the filling station.,Directions & Places,request_or_command,7,medium,,,,,,
GH0002,Turn on the subtitles.,Phone & Technology,request_or_command,4,short,,,,,,
GH0003,The meeting is closed.,"Church, Mosque & Community",statement,4,short,,,,,,
GH0004,Please take the minutes.,"Church, Mosque & Community",request_or_command,4,short,,,,,,
GH0005,I did not understand you.,Deaf Identity & Communication,statement,5,short,,,,,,
GH0006,It is cold this morning.,Weather & Environment,statement,5,short,,,,,,
GH0007,Do you still keep in touch with your old classmates?,Introductions & Small Talk,question,10,medium,,,,,,
GH0008,"I am lost in this area, so please send me the location on WhatsApp.",Directions & Places,statement,14,long,,,,,,
GH0009,Please count the money carefully before you leave the counter at the bank.,Money & Mobile Money,request_or_command,13,long,,,,,,
GH0010,I am busy on Sunday.,Time & Plans,statement,5,short,,,,,,
GH0011,My phone vibrates when someone calls.,Deaf Identity & Communication,statement,6,medium,,,,,,
GH0012,My grandmother lives in the village.,Family & Home,statement,6,medium,,,,,,
GH0013,My night was peaceful.,Greetings & Farewells,statement,4,short,,,,,,
GH0014,Come and see me when you are free.,Requests & Everyday Actions,request_or_command,8,medium,,,,,,
GH0015,Please wake me up when we reach the station.,Transport & Travel,request_or_command,9,medium,,,,,,
GH0016,What kind of work does your father do?,Introductions & Small Talk,question,8,medium,,,,,,
GH0017,Do not throw rubbish in the gutter.,Weather & Environment,request_or_command,7,medium,,,,,,
GH0018,Go outside and wait.,Directions & Places,request_or_command,4,short,,,,,,
GH0019,The station is behind that big blue building.,Transport & Travel,statement,8,medium,,,,,,
GH0020,Has the meeting been postponed again?,"Church, Mosque & Community",question,6,medium,,,,,,
GH0021,Tell them I am coming.,Family & Home,request_or_command,5,short,,,,,,
GH0022,When will the work be ready?,Work & Business,question,6,medium,,,,,,
GH0023,Let us video call in the evening when I am home.,Phone & Technology,request_or_command,11,long,,,,,,
GH0024,My stomach is full.,Food & Eating,statement,4,short,,,,,,
GH0025,We have missed you here.,Greetings & Farewells,statement,5,short,,,,,,
GH0026,I am selling here every day.,Market & Shopping,statement,6,medium,,,,,,
GH0027,"If the room is dark, I cannot follow the conversation at all.",Deaf Identity & Communication,statement,12,long,,,,,,
GH0028,Is your phone charged?,Phone & Technology,question,4,short,,,,,,
GH0029,Do not do that.,Requests & Everyday Actions,request_or_command,4,short,,,,,,
GH0030,I am sorry for what I said yesterday.,Feelings & Opinions,statement,8,medium,,,,,,
GH0031,My boss is a good person.,Work & Business,statement,6,medium,,,,,,
GH0032,I completed senior high school.,School & Education,statement,5,short,,,,,,
GH0033,Our house has a green gate and a mango tree.,Directions & Places,statement,10,medium,,,,,,
GH0034,Take an umbrella with you.,Weather & Environment,request_or_command,5,short,,,,,,
GH0035,"The harmattan is very strong this year, so remember to use cream on your skin.",Weather & Environment,statement,15,long,,,,,,
GH0036,It is about ten minutes walk from here.,Directions & Places,statement,8,medium,,,,,,
GH0037,Deaf students learn better when their teachers can sign clearly and patiently.,School & Education,statement,12,long,,,,,,
GH0038,Are the deaf members from the other region also coming for the celebration?,"Church, Mosque & Community",question,13,long,,,,,,
GH0039,There is a wedding next month.,"Church, Mosque & Community",statement,6,medium,,,,,,
GH0040,Are you free tomorrow?,Time & Plans,question,4,short,,,,,,
GH0041,Please accept my condolences on the death of your father.,"Church, Mosque & Community",request_or_command,10,medium,,,,,,
GH0042,The shop opens at eight.,Market & Shopping,statement,5,short,,,,,,
GH0043,"Hurry, time is going.",Time & Plans,request_or_command,4,short,,,,,,
GH0044,I have sent the money.,Money & Mobile Money,statement,5,short,,,,,,
GH0045,I learned tailoring from my master for three years before I opened my own shop.,Work & Business,statement,15,long,,,,,,
GH0046,"When you reach home tonight, send me a message so I know you are safe.",Greetings & Farewells,statement,15,long,,,,,,
GH0047,My sign name is this.,Introductions & Small Talk,statement,5,short,,,,,,
GH0048,Did they call you after the interview?,Work & Business,question,7,medium,,,,,,
GH0049,Where exactly are you standing now?,Directions & Places,question,6,medium,,,,,,
GH0050,My phone is off.,Phone & Technology,statement,4,short,,,,,,
